Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($)
2025-10-13 14:00,2025-10-13 14:30,SHORT,100,55.38999938964844,54.39500045776367,99.5
2025-10-13 15:00,2025-10-13 18:30,SHORT,100,54.09999847412109,55.30630111694336,-120.63
2025-10-13 19:00,2025-10-14 14:00,LONG,200,55.22499847412109,51.18999862670898,-807.0
2025-10-14 14:30,2025-10-14 18:30,SHORT,400,52.01499938964844,53.31999969482422,-522.0
2025-10-14 19:00,2025-10-15 14:00,LONG,800,52.98500061035156,51.47999954223633,-1204.0
2025-10-15 14:30,2025-10-15 16:00,SHORT,1600,52.06999969482422,50.94499969482422,1800.0
2025-10-15 16:30,2025-10-16 16:00,SHORT,100,51.06999969482422,48.775001525878906,229.5
2025-10-16 16:30,2025-10-16 17:00,SHORT,100,48.02000045776367,49.38999938964844,-137.0
2025-10-16 17:30,2025-10-17 14:00,LONG,200,48.970001220703125,46.27999877929688,-538.0
2025-10-17 14:30,2025-10-17 16:00,SHORT,400,45.620399475097656,47.119998931884766,-599.84
2025-10-17 16:30,2025-10-20 14:00,LONG,800,47.060001373291016,51.0,3152.0
2025-10-20 14:30,2025-10-21 14:00,SHORT,100,51.06499862670898,48.59000015258789,247.5
2025-10-21 14:30,2025-10-21 15:00,SHORT,100,49.72249984741211,52.02999877929688,-230.75
2025-10-21 15:30,2025-10-21 19:30,LONG,200,52.7400016784668,51.59000015258789,-230.0
2025-10-22 13:30,2025-10-23 14:00,SHORT,400,48.25,49.22999954223633,-392.0
2025-10-23 14:30,2025-10-23 18:00,LONG,800,49.150001525878906,50.93999862670898,1432.0
2025-10-23 18:30,2025-10-27 14:00,SHORT,100,50.31499862670898,54.47999954223633,-416.5
2025-10-27 14:30,2025-10-28 19:30,LONG,200,54.165000915527344,52.95000076293945,-243.0
2025-10-29 13:30,2025-10-29 14:30,SHORT,400,52.25,51.04999923706055,480.0
2025-10-29 15:00,2025-10-29 16:30,SHORT,100,51.209999084472656,49.970001220703125,124.0
2025-10-29 17:00,2025-10-30 14:00,SHORT,100,49.900001525878906,46.70000076293945,320.0
2025-10-30 14:30,2025-10-31 13:30,SHORT,100,47.0,48.66999816894531,-167.0
2025-10-31 14:00,2025-10-31 17:00,LONG,200,48.869998931884766,47.75,-224.0
2025-10-31 17:30,2025-11-03 15:30,SHORT,400,47.90999984741211,45.209999084472656,1080.0
2025-11-03 16:00,2025-11-03 17:30,SHORT,100,44.95000076293945,46.11000061035156,-116.0
2025-11-03 18:00,2025-11-04 15:00,LONG,200,46.5099983215332,43.880001068115234,-526.0
2025-11-04 15:30,2025-11-04 16:00,SHORT,400,43.81499862670898,42.70000076293945,446.0
2025-11-04 16:30,2025-11-04 17:30,SHORT,100,42.290000915527344,41.119998931884766,117.0
2025-11-04 18:00,2025-11-05 15:00,SHORT,100,40.81010055541992,42.560001373291016,-174.99
2025-11-05 15:30,2025-11-06 15:00,LONG,200,42.72499847412109,41.59999847412109,-225.0
2025-11-06 15:30,2025-11-06 17:00,SHORT,400,41.90999984741211,40.56999969482422,536.0
