Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-09-18 13:30,2025-10-02 16:00,LONG,100,33.98,39.01,503.0,101040.64
2025-10-27 12:30,2025-11-07 12:00,LONG,100,46.67,41.11,-556.0,101131.39
2025-11-07 12:30,2025-11-10 12:00,SHORT,200,39.52,44.83,-1062.0,100052.52
2025-11-10 12:30,2025-11-13 13:30,LONG,400,44.75,39.67,-2032.0,97986.76
2025-11-13 14:00,2025-11-18 12:00,SHORT,800,39.19,33.96,4184.0,102112.24
2025-11-18 12:30,2025-11-21 12:30,SHORT,100,34.01,28.93,508.0,102613.94
2025-11-21 13:00,2025-11-24 12:00,SHORT,100,29.03,34.6,-557.0,102050.58
2025-11-24 12:30,2025-11-28 12:00,LONG,200,34.67,40.09,1084.0,103119.63
2025-11-28 12:30,2025-12-03 15:30,LONG,100,40.12,45.22,510.0,103621.09
2025-12-03 16:00,2025-12-16 12:30,LONG,100,45.54,39.75,-579.0,103033.56
2025-12-16 13:00,2026-01-02 12:00,SHORT,200,40.5,47.49,-1398.0,101617.97
2026-01-02 12:30,2026-01-06 12:00,LONG,400,46.32,53.5,2872.0,104450.04
