Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-10-14 17:30,2025-10-24 14:00,SHORT,100,51.63,55.25,-362.0,99627.81
2025-10-24 14:30,2025-10-28 13:30,LONG,200,55.19,58.82,726.5,100331.51
2025-10-28 14:00,2025-11-04 18:30,LONG,100,58.92,55.88,-304.0,100016.53
2025-11-04 19:00,2025-11-07 15:00,SHORT,200,56.17,51.91,852.0,100845.91
2025-11-07 15:30,2025-11-10 15:00,SHORT,100,51.61,55.85,-423.51,100411.66
2025-11-10 15:30,2025-11-13 18:00,LONG,200,55.9,52.6,-661.0,99729.97
2025-11-13 18:30,2025-11-18 15:00,SHORT,400,52.15,48.78,1348.0,101039.59
2025-11-18 15:30,2025-11-20 15:00,SHORT,100,48.92,53.33,-441.0,100588.37
2025-11-20 15:30,2025-11-20 17:00,LONG,200,53.24,48.97,-854.0,99714.93
2025-11-20 17:30,2025-11-25 17:30,SHORT,400,48.32,51.48,-1264.0,98411.01
2025-11-25 18:00,2025-12-01 14:30,LONG,800,51.46,53.11,1320.0,99651.35
2025-12-01 15:00,2025-12-05 15:30,LONG,100,53.84,56.87,303.0,99943.28
2025-12-05 16:00,2025-12-12 16:00,LONG,100,56.26,53.03,-323.0,99609.35
2025-12-12 16:30,2025-12-17 19:00,SHORT,200,52.93,49.83,620.0,100208.8
2025-12-17 19:30,2025-12-19 15:00,SHORT,100,49.73,53.39,-366.0,99832.49
2025-12-19 15:30,2026-01-07 17:30,LONG,200,53.07,56.12,609.0,100419.65
