Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($)
2025-10-07 15:30,2025-10-10 19:00,LONG,100,39.97999954223633,35.849998474121094,-413.00010681152344
2025-10-10 19:30,2025-10-13 17:00,SHORT,200,35.33000183105469,39.40999984741211,-815.9996032714844
2025-10-13 17:30,2025-10-24 14:00,LONG,400,38.85499954223633,43.40999984741211,1822.0001220703125
2025-10-24 14:30,2025-10-29 14:00,LONG,100,43.310001373291016,50.65999984741211,734.9998474121094
2025-10-29 14:30,2025-11-04 16:00,LONG,100,50.119998931884766,45.71500015258789,-440.4998779296875
2025-11-04 16:30,2025-11-07 15:00,SHORT,200,45.470001220703125,41.150001525878906,863.9999389648438
2025-11-07 15:30,2025-11-10 15:00,SHORT,100,39.52000045776367,44.834999084472656,-531.4998626708984
2025-11-10 15:30,2025-11-13 16:00,LONG,200,44.7400016784668,40.11000061035156,-926.0002136230469
2025-11-13 16:30,2025-11-18 15:00,SHORT,400,39.689998626708984,33.959999084472656,2291.9998168945312
2025-11-18 15:30,2025-11-20 15:00,SHORT,100,34.029998779296875,38.81999969482422,-479.0000915527344
2025-11-20 15:30,2025-11-20 17:00,LONG,200,38.665000915527344,34.060001373291016,-920.9999084472656
2025-11-20 17:30,2025-11-21 15:30,SHORT,400,33.349998474121094,28.934999465942383,1765.9996032714844
2025-11-21 16:00,2025-11-24 15:00,SHORT,100,29.049999237060547,34.599998474121094,-554.9999237060547
2025-11-24 15:30,2025-11-26 16:00,LONG,200,34.685001373291016,38.72999954223633,808.9996337890625
2025-11-26 16:30,2025-12-02 15:00,LONG,100,39.29499816894531,44.369998931884766,507.5000762939453
2025-12-02 15:30,2025-12-08 15:00,LONG,100,43.59000015258789,47.80820083618164,421.820068359375
2025-12-08 15:30,2025-12-12 16:00,LONG,100,47.4900016784668,43.09000015258789,-440.0001525878906
2025-12-12 16:30,2025-12-17 16:00,SHORT,200,42.8650016784668,37.18000030517578,1137.0002746582031
2025-12-17 16:30,2025-12-19 15:00,SHORT,100,37.18000030517578,41.93000030517578,-475.0
